"trial_num","frame_num","circle_num","circle_id","density","x_coord","y_coord","i_dataset"
1,1,1,"blue",8.84933523472044,2.20826996835448,7.63058350524474,1
1,1,2,"blue",7.35365044317507,5.82907558906493,0.675872120083403,1
1,1,3,"blue",9.88137660592498,-0.390114687363376,-5.53464086700859,1
1,1,4,"blue",12.6548594889419,-8.2372767445881,2.8126014930042,1
1,1,5,"blue",6.99563188417624,2.32051210445268,0.806901566537292,1
1,1,6,"yellow",9.94692943901211,8.3525171595841,-3.35427717310453,1
1,1,7,"yellow",11.1742285975585,3.03739992185629,-7.96623805488871,1
1,1,8,"yellow",9.45766632731876,-3.06505379187904,5.27047020373646,1
1,1,9,"yellow",9.84366547223124,2.93517343979634,-6.23849324543826,1
1,1,10,"yellow",9.46342337168971,6.77038062730037,6.97806366188057,1
1,1,11,"yellow",7.36469995374265,5.91772525210867,2.65692211389504,1
1,1,12,"yellow",10.7355656907873,0.0307188865891916,9.75872204883748,1
1,1,13,"yellow",12.0929249102763,-6.30154978252587,-3.70129233213403,1
1,1,14,"yellow",8.51487622995729,8.12733143305493,0.823521900420012,1
1,1,15,"yellow",7.87432729255632,1.03147580200549,5.50303015352461,1
1,1,16,"yellow",8.03095839434331,6.7402279889105,4.01066372783768,1
1,2,1,"blue",8.8518189199269,2.12682187834569,7.61295815196135,1
1,2,2,"blue",7.38190147121916,5.90307186379055,0.714199600709907,1
1,2,3,"blue",9.84725221512501,-0.313100059319972,-5.50281019765055,1
1,2,4,"blue",12.7014262483034,-8.30955431256877,2.77112381694535,1
1,2,5,"blue",6.99578630608617,2.40187309235003,0.824924720889719,1
1,2,6,"yellow",9.90144810167016,8.32504075120237,-3.27560385216989,1
1,2,7,"yellow",11.1218547302101,3.03645908150186,-7.88291003280807,1
1,2,8,"yellow",9.50749881307094,-3.14631500971847,5.28893798432043,1
1,2,9,"yellow",9.82020193419232,2.86497302693703,-6.19358949861433,1
1,2,10,"yellow",9.48143024130432,6.8443749162029,6.9397323476029,1
1,2,11,"yellow",7.3696537087186,5.8759402384226,2.72902244035546,1
1,2,12,"yellow",10.7788753224452,-0.0474572091592006,9.7875827920362,1
1,2,13,"yellow",12.1630036695545,-6.37851795966595,-3.73323515843631,1
1,2,14,"yellow",8.53825456132707,8.14461953672823,0.742001559916395,1
1,2,15,"yellow",7.88456579077968,0.955144862581065,5.4695931660552,1
1,2,16,"yellow",8.0856046010876,6.80893637774132,4.05781880973473,1
